#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  9.62679827E-01  7.78282112E-04
  1.25000000E-01  9.63286134E-01  7.15725530E-04
  2.50000000E-01  9.63310833E-01  5.55551534E-04
  3.75000000E-01  9.64307573E-01  4.39000649E-04
  5.00000000E-01  9.65742274E-01  3.78598351E-04
  6.25000000E-01  9.67202335E-01  2.96272331E-04
  7.50000000E-01  9.69540847E-01  3.13988324E-04
  8.75000000E-01  9.72482394E-01  4.35677184E-04
  1.00000000E+00  9.75239459E-01  5.08606100E-04
  1.12500000E+00  9.78155747E-01  6.59739991E-04
  1.25000000E+00  9.80455568E-01  6.77806333E-04
  1.37500000E+00  9.82685657E-01  6.53239740E-04
  1.50000000E+00  9.83565009E-01  6.56546197E-04
  1.62500000E+00  9.84693284E-01  6.42740820E-04
  1.75000000E+00  9.84880731E-01  5.60607390E-04
  1.87500000E+00  9.86487256E-01  4.37315803E-04
  2.00000000E+00  9.89952680E-01  3.59795748E-04
  2.12500000E+00  9.95483972E-01  3.21326236E-04
  2.25000000E+00  1.00224896E+00  3.11400390E-04
  2.37500000E+00  1.01016578E+00  4.51017232E-04
  2.50000000E+00  1.01727851E+00  5.93677959E-04
  2.62500000E+00  1.02302405E+00  7.15752396E-04
  2.75000000E+00  1.02545403E+00  7.77295742E-04
  2.87500000E+00  1.02556604E+00  7.39166238E-04
  3.00000000E+00  1.02298880E+00  6.57953984E-04
  3.12500000E+00  1.01826734E+00  5.70791471E-04
  3.25000000E+00  1.01179402E+00  4.17734796E-04
  3.37500000E+00  1.00505352E+00  3.76822014E-04
  3.50000000E+00  9.98465044E-01  3.66946673E-04
  3.62500000E+00  9.93833875E-01  3.28167932E-04
  3.75000000E+00  9.89677328E-01  3.70266965E-04
  3.87500000E+00  9.86639215E-01  4.47227754E-04
  4.00000000E+00  9.85366932E-01  5.38445967E-04
  4.12500000E+00  9.85461092E-01  6.07572070E-04
  4.25000000E+00  9.85312224E-01  6.13507187E-04
  4.37500000E+00  9.85878185E-01  6.32177717E-04
  4.50000000E+00  9.87385898E-01  5.77764786E-04
  4.62500000E+00  9.88418632E-01  5.37478474E-04
