#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  9.42500157E-01  2.50057581E-04
  1.25000000E-01  9.44402466E-01  2.42302389E-04
  2.50000000E-01  9.47407733E-01  2.65411643E-04
  3.75000000E-01  9.52021148E-01  2.04611743E-04
  5.00000000E-01  9.57288352E-01  1.96693446E-04
  6.25000000E-01  9.62942807E-01  2.08035031E-04
  7.50000000E-01  9.68845269E-01  2.19304916E-04
  8.75000000E-01  9.74675233E-01  2.09701271E-04
  1.00000000E+00  9.79280516E-01  2.02608262E-04
  1.12500000E+00  9.83828945E-01  2.36455704E-04
  1.25000000E+00  9.87240343E-01  2.35520536E-04
  1.37500000E+00  9.89787933E-01  3.10374254E-04
  1.50000000E+00  9.92244869E-01  2.79480189E-04
  1.62500000E+00  9.93480438E-01  2.49488846E-04
  1.75000000E+00  9.95051828E-01  2.06637404E-04
  1.87500000E+00  9.95544802E-01  2.27810343E-04
  2.00000000E+00  9.96483438E-01  2.15550314E-04
  2.12500000E+00  9.98431490E-01  2.24338443E-04
  2.25000000E+00  1.00014170E+00  2.31988584E-04
  2.37500000E+00  1.00254259E+00  2.33267818E-04
  2.50000000E+00  1.00543050E+00  2.65436932E-04
  2.62500000E+00  1.00747011E+00  2.38858303E-04
  2.75000000E+00  1.00897253E+00  2.29429517E-04
  2.87500000E+00  1.00894782E+00  2.25053644E-04
  3.00000000E+00  1.00789251E+00  2.38323195E-04
  3.12500000E+00  1.00609968E+00  2.27349711E-04
  3.25000000E+00  1.00464865E+00  2.27574165E-04
  3.37500000E+00  1.00236676E+00  2.50944494E-04
  3.50000000E+00  1.00036647E+00  2.37526059E-04
  3.62500000E+00  9.98500383E-01  2.07707092E-04
  3.75000000E+00  9.97212917E-01  2.31507616E-04
  3.87500000E+00  9.96512255E-01  2.21327462E-04
  4.00000000E+00  9.96148206E-01  2.63624417E-04
  4.12500000E+00  9.96394140E-01  2.27577787E-04
  4.25000000E+00  9.96422150E-01  2.33887878E-04
  4.37500000E+00  9.96642761E-01  2.14457125E-04
  4.50000000E+00  9.97174689E-01  2.60529544E-04
  4.62500000E+00  9.98180638E-01  2.25294631E-04
  4.75000000E+00  9.98112276E-01  2.17036415E-04
  4.87500000E+00  9.98855478E-01  2.30627173E-04
  5.00000000E+00  9.99008602E-01  2.21885799E-04
  5.12500000E+00  9.99459380E-01  2.41077773E-04
  5.25000000E+00  1.00022108E+00  2.61895894E-04
  5.37500000E+00  1.00016574E+00  2.32594730E-04
  5.50000000E+00  1.00083532E+00  2.49351852E-04
  5.62500000E+00  1.00094684E+00  2.59652649E-04
  5.75000000E+00  1.00108216E+00  2.45944845E-04
  5.87500000E+00  1.00101787E+00  2.14837172E-04
  6.00000000E+00  1.00083542E+00  2.23990714E-04
