#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  9.16247315E-01  3.18195671E-04
  1.25000000E-01  9.16522292E-01  2.90170362E-04
  2.50000000E-01  9.16891036E-01  2.68146043E-04
  3.75000000E-01  9.17979513E-01  2.41338715E-04
  5.00000000E-01  9.18854335E-01  2.02612617E-04
  6.25000000E-01  9.20317261E-01  1.73768471E-04
  7.50000000E-01  9.21799298E-01  1.50155343E-04
  8.75000000E-01  9.23867906E-01  1.69898211E-04
  1.00000000E+00  9.25740937E-01  1.74770404E-04
  1.12500000E+00  9.28379913E-01  2.20801768E-04
  1.25000000E+00  9.31278406E-01  2.48875498E-04
  1.37500000E+00  9.34040209E-01  2.53669988E-04
  1.50000000E+00  9.37963443E-01  2.87465772E-04
  1.62500000E+00  9.41983948E-01  3.00916093E-04
  1.75000000E+00  9.46503925E-01  2.86932814E-04
  1.87500000E+00  9.51865851E-01  2.82650082E-04
  2.00000000E+00  9.58204444E-01  2.75938579E-04
  2.12500000E+00  9.65600716E-01  2.69157191E-04
  2.25000000E+00  9.74756495E-01  2.54135344E-04
  2.37500000E+00  9.84910807E-01  2.25692580E-04
  2.50000000E+00  9.95315737E-01  1.87587368E-04
  2.62500000E+00  1.00558053E+00  1.88742297E-04
  2.75000000E+00  1.01455646E+00  2.04865657E-04
  2.87500000E+00  1.02237079E+00  2.09394010E-04
  3.00000000E+00  1.02772320E+00  2.77447144E-04
  3.12500000E+00  1.03101086E+00  3.37647366E-04
  3.25000000E+00  1.03243126E+00  2.89787154E-04
  3.37500000E+00  1.03224729E+00  3.11867946E-04
  3.50000000E+00  1.03010198E+00  3.09967599E-04
  3.62500000E+00  1.02674318E+00  2.96570237E-04
  3.75000000E+00  1.02249844E+00  2.95395032E-04
  3.87500000E+00  1.01777349E+00  2.89687746E-04
  4.00000000E+00  1.01256269E+00  2.53484253E-04
  4.12500000E+00  1.00744313E+00  2.74097285E-04
  4.25000000E+00  1.00229206E+00  2.52811767E-04
  4.37500000E+00  9.97408768E-01  2.16016914E-04
  4.50000000E+00  9.93147599E-01  2.20591224E-04
  4.62500000E+00  9.89573227E-01  2.42315219E-04
  4.75000000E+00  9.85970573E-01  2.67686225E-04
  4.87500000E+00  9.83820780E-01  2.67936245E-04
  5.00000000E+00  9.82280056E-01  2.86965796E-04
  5.12500000E+00  9.81818111E-01  2.90595007E-04
  5.25000000E+00  9.81771954E-01  2.81797456E-04
  5.37500000E+00  9.82450736E-01  2.80931954E-04
  5.50000000E+00  9.83869721E-01  2.65820143E-04
  5.62500000E+00  9.86080983E-01  2.41070508E-04
  5.75000000E+00  9.88413823E-01  2.47670840E-04
  5.87500000E+00  9.90853405E-01  2.54605079E-04
  6.00000000E+00  9.93755710E-01  2.35586086E-04
  6.12500000E+00  9.97042846E-01  2.16248766E-04
  6.25000000E+00  9.99792786E-01  2.22938070E-04
  6.37500000E+00  1.00241106E+00  2.25824557E-04
  6.50000000E+00  1.00484972E+00  2.38136797E-04
  6.62500000E+00  1.00683947E+00  2.23899505E-04
  6.75000000E+00  1.00822248E+00  2.33467762E-04
  6.87500000E+00  1.00934926E+00  2.47666606E-04
  7.00000000E+00  1.00976220E+00  2.38129785E-04
  7.12500000E+00  1.00946658E+00  2.50470530E-04
  7.25000000E+00  1.00911161E+00  2.59396786E-04
  7.37500000E+00  1.00841134E+00  2.48410397E-04
  7.50000000E+00  1.00715225E+00  2.61109629E-04
  7.62500000E+00  1.00584276E+00  2.44869091E-04
  7.75000000E+00  1.00421571E+00  2.77670601E-04
  7.87500000E+00  1.00244422E+00  2.43052810E-04
  8.00000000E+00  1.00072352E+00  2.30344312E-04
  8.12500000E+00  9.98833507E-01  2.36243630E-04
  8.25000000E+00  9.97306062E-01  2.39622121E-04
  8.37500000E+00  9.96042110E-01  2.29678836E-04
  8.50000000E+00  9.94841969E-01  2.45334164E-04
  8.62500000E+00  9.93945053E-01  2.36026981E-04
  8.75000000E+00  9.93301538E-01  2.43788550E-04
  8.87500000E+00  9.92982683E-01  2.50438106E-04
  9.00000000E+00  9.93329600E-01  2.39984062E-04
  9.12500000E+00  9.93495050E-01  2.40796543E-04
  9.25000000E+00  9.93994358E-01  2.36044134E-04
  9.37500000E+00  9.94843718E-01  2.60664238E-04
  9.50000000E+00  9.95634525E-01  2.62516737E-04
  9.62500000E+00  9.96659723E-01  2.56368048E-04
  9.75000000E+00  9.97789763E-01  2.43063163E-04
  9.87500000E+00  9.98948735E-01  2.35735039E-04
  1.00000000E+01  1.00024587E+00  2.33999610E-04
  1.01200000E+01  1.00110831E+00  2.37445468E-04
  1.02500000E+01  1.00194923E+00  2.37876717E-04
  1.03800000E+01  1.00275547E+00  2.60884311E-04
  1.05000000E+01  1.00324643E+00  2.47970444E-04
  1.06200000E+01  1.00331893E+00  2.82072028E-04
  1.07500000E+01  1.00334363E+00  2.40502352E-04
  1.08800000E+01  1.00327164E+00  2.53837482E-04
  1.10000000E+01  1.00321744E+00  2.71668621E-04
  1.11200000E+01  1.00289155E+00  2.56332355E-04
  1.12500000E+01  1.00231583E+00  2.36509547E-04
  1.13800000E+01  1.00173684E+00  2.31445694E-04
  1.15000000E+01  1.00145194E+00  2.33263653E-04
  1.16200000E+01  1.00078517E+00  2.30650288E-04
  1.17500000E+01  9.99961974E-01  2.33454113E-04
  1.18800000E+01  9.99231523E-01  2.40831458E-04
  1.20000000E+01  9.98430689E-01  2.60743290E-04
  1.21200000E+01  9.98012784E-01  2.60428345E-04
