#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E-01  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  3.75000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  6.25000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  8.75000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  4.31249958E-05  1.00841161E-05
  1.12500000E+00  5.06452404E-02  4.48207279E-04
  1.25000000E+00  9.35747608E-01  2.04633430E-03
  1.37500000E+00  3.88371327E+00  4.19791523E-03
  1.50000000E+00  8.31398297E+00  5.76093753E-03
  1.62500000E+00  1.24674611E+01  6.90321825E-03
  1.75000000E+00  1.49935119E+01  5.61546436E-03
  1.87500000E+00  1.55538378E+01  5.79982947E-03
  2.00000000E+00  1.45443532E+01  5.94042797E-03
  2.12500000E+00  1.26494908E+01  5.93779015E-03
  2.25000000E+00  1.05352762E+01  4.11849242E-03
  2.37500000E+00  8.65991142E+00  3.69068882E-03
  2.50000000E+00  7.29165909E+00  3.43447609E-03
  2.62500000E+00  6.51439381E+00  3.34180028E-03
  2.75000000E+00  6.29062221E+00  3.19359134E-03
  2.87500000E+00  6.52602712E+00  2.88434635E-03
  3.00000000E+00  7.05751817E+00  2.88447844E-03
  3.12500000E+00  7.70415113E+00  3.48831128E-03
  3.25000000E+00  8.28338295E+00  3.52776878E-03
  3.37500000E+00  8.67143948E+00  3.42566553E-03
  3.50000000E+00  8.79755462E+00  3.17520779E-03
  3.62500000E+00  8.66891214E+00  3.03021065E-03
  3.75000000E+00  8.31919060E+00  3.07007327E-03
  3.87500000E+00  7.83620580E+00  2.89238533E-03
  4.00000000E+00  7.29247600E+00  2.57202714E-03
  4.12500000E+00  6.78160429E+00  2.22179544E-03
  4.25000000E+00  6.38332783E+00  2.38750940E-03
  4.37500000E+00  6.14957194E+00  2.35490433E-03
  4.50000000E+00  6.09387246E+00  2.39983694E-03
  4.62500000E+00  6.19450337E+00  2.53226000E-03
  4.75000000E+00  6.38627450E+00  2.51373576E-03
  4.87500000E+00  6.58929577E+00  2.52874100E-03
  5.00000000E+00  6.72009217E+00  2.43004636E-03
  5.12500000E+00  6.72777984E+00  2.09526143E-03
  5.25000000E+00  6.59817188E+00  2.12719369E-03
  5.37500000E+00  6.35859931E+00  1.96020066E-03
  5.50000000E+00  6.06046204E+00  1.85937158E-03
  5.62500000E+00  5.75932295E+00  1.77090942E-03
  5.75000000E+00  5.50161609E+00  1.70747187E-03
  5.87500000E+00  5.32246957E+00  1.61817632E-03
  6.00000000E+00  5.23003091E+00  1.59796280E-03
  6.12500000E+00  5.21734747E+00  1.83577134E-03
  6.25000000E+00  5.25985734E+00  1.96091706E-03
  6.37500000E+00  5.32918175E+00  1.94796812E-03
  6.50000000E+00  5.38773345E+00  1.69518871E-03
  6.62500000E+00  5.40581417E+00  1.44852368E-03
  6.75000000E+00  5.36676851E+00  1.29436813E-03
  6.87500000E+00  5.26257012E+00  1.22165982E-03
  7.00000000E+00  5.09741951E+00  1.30455645E-03
  7.12500000E+00  4.89219050E+00  1.14381108E-03
  7.25000000E+00  4.67599146E+00  1.15355874E-03
  7.37500000E+00  4.48012296E+00  1.01583641E-03
  7.50000000E+00  4.33527965E+00  1.12072369E-03
  7.62500000E+00  4.25194940E+00  1.09411965E-03
  7.75000000E+00  4.22248142E+00  1.05360919E-03
  7.87500000E+00  4.22407135E+00  1.10737645E-03
  8.00000000E+00  4.23691208E+00  9.40809973E-04
  8.12500000E+00  4.24350808E+00  9.51789748E-04
  8.25000000E+00  4.23440781E+00  1.02961341E-03
  8.37500000E+00  4.20220604E+00  1.06233254E-03
  8.50000000E+00  4.14039505E+00  8.57364879E-04
  8.62500000E+00  4.03883850E+00  8.03830422E-04
  8.75000000E+00  3.89775446E+00  8.14946759E-04
  8.87500000E+00  3.72632228E+00  9.83831519E-04
  9.00000000E+00  3.54476960E+00  1.01851835E-03
  9.12500000E+00  3.38209049E+00  9.68199951E-04
  9.25000000E+00  3.25876158E+00  8.76866383E-04
  9.37500000E+00  3.18346007E+00  7.48833318E-04
  9.50000000E+00  3.14364014E+00  6.24531964E-04
  9.62500000E+00  3.11848425E+00  7.33648550E-04
  9.75000000E+00  3.08715563E+00  6.18236877E-04
  9.87500000E+00  3.04539472E+00  6.57561355E-04
  1.00000000E+01  2.99666945E+00  5.40886342E-04
  1.01200000E+01  2.94777672E+00  6.17277271E-04
  1.02500000E+01  2.89122809E+00  6.00051515E-04
  1.03800000E+01  2.81339914E+00  6.20809436E-04
  1.05000000E+01  2.70522550E+00  5.84603347E-04
  1.06200000E+01  2.56931788E+00  6.36347104E-04
  1.07500000E+01  2.42516530E+00  6.62439706E-04
  1.08800000E+01  2.29169569E+00  6.96472592E-04
  1.10000000E+01  2.18233353E+00  6.76326840E-04
  1.11200000E+01  2.10177931E+00  5.03830869E-04
  1.12500000E+01  2.04700323E+00  4.28638266E-04
  1.13800000E+01  2.01113452E+00  4.27794406E-04
  1.15000000E+01  1.98063124E+00  4.74298813E-04
  1.16200000E+01  1.94206269E+00  5.92476103E-04
  1.17500000E+01  1.88853745E+00  6.10834167E-04
  1.18800000E+01  1.82143763E+00  5.43178436E-04
  1.20000000E+01  1.74785039E+00  4.07489951E-04
  1.21200000E+01  1.67658237E+00  3.80330041E-04
  1.22500000E+01  1.61283096E+00  4.69587238E-04
  1.23800000E+01  1.55881763E+00  5.56006550E-04
