#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  4.55706759E-03  1.11425934E-04
  7.75500000E-02  4.57679637E-03  1.10618918E-04
  1.55100000E-01  4.62559852E-03  1.04421301E-04
  2.32600000E-01  4.70125887E-03  9.91177695E-05
  3.10200000E-01  4.81063161E-03  9.25597266E-05
  3.87700000E-01  4.97605561E-03  8.55142040E-05
  4.65300000E-01  5.18949091E-03  7.95622362E-05
  5.42800000E-01  5.43502179E-03  7.26887539E-05
  6.20400000E-01  5.71998548E-03  6.64819428E-05
  6.97900000E-01  6.08573920E-03  6.01932610E-05
  7.75500000E-01  6.49638590E-03  5.42101849E-05
  8.53000000E-01  6.98972437E-03  4.97399982E-05
  9.30600000E-01  7.53808530E-03  4.48287045E-05
  1.00800000E+00  8.18198240E-03  4.45321869E-05
  1.08600000E+00  8.91616153E-03  4.09310106E-05
  1.16300000E+00  9.74561806E-03  3.98123506E-05
  1.24100000E+00  1.06580147E-02  3.98635160E-05
  1.31800000E+00  1.16595047E-02  3.92117349E-05
  1.39600000E+00  1.27934052E-02  4.02527812E-05
  1.47300000E+00  1.40265787E-02  4.19828099E-05
  1.55100000E+00  1.53931906E-02  4.44210441E-05
  1.62900000E+00  1.68445000E-02  4.70110701E-05
  1.70600000E+00  1.83951196E-02  4.95851168E-05
  1.78400000E+00  2.00690749E-02  5.38667518E-05
  1.86100000E+00  2.18208313E-02  5.50620736E-05
  1.93900000E+00  2.36508515E-02  5.84246295E-05
  2.01600000E+00  2.55212609E-02  6.00171895E-05
  2.09400000E+00  2.73917478E-02  5.98882888E-05
  2.17100000E+00  2.92662031E-02  5.94463431E-05
  2.24900000E+00  3.10223266E-02  5.94400610E-05
  2.32600000E+00  3.26466190E-02  5.86955906E-05
  2.40400000E+00  3.40639797E-02  5.86483489E-05
  2.48200000E+00  3.51960234E-02  5.87015367E-05
  2.55900000E+00  3.60888005E-02  5.57662122E-05
  2.63700000E+00  3.65298357E-02  5.93830194E-05
  2.71400000E+00  3.65652827E-02  6.07146322E-05
  2.79200000E+00  3.61018741E-02  6.21395046E-05
  2.86900000E+00  3.52048882E-02  6.57536480E-05
  2.94700000E+00  3.38194925E-02  6.79689108E-05
  3.02400000E+00  3.19873603E-02  6.85906460E-05
  3.10200000E+00  2.97605489E-02  7.31109978E-05
  3.18000000E+00  2.72069282E-02  7.17832396E-05
  3.25700000E+00  2.44510514E-02  7.14210540E-05
  3.33500000E+00  2.16192459E-02  6.67212877E-05
  3.41200000E+00  1.87602520E-02  6.10912261E-05
  3.49000000E+00  1.60075702E-02  5.63687068E-05
  3.56700000E+00  1.34691886E-02  4.94895840E-05
  3.64500000E+00  1.11879598E-02  4.48981932E-05
  3.72200000E+00  9.23666753E-03  4.05106160E-05
  3.80000000E+00  7.62856991E-03  3.68951898E-05
  3.87700000E+00  6.40208137E-03  3.32163666E-05
  3.95500000E+00  5.51703205E-03  3.09757557E-05
  4.03300000E+00  4.97121336E-03  2.90496440E-05
  4.11000000E+00  4.71345206E-03  2.80214871E-05
  4.18800000E+00  4.74905289E-03  2.80167450E-05
