#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  4.34050571E-06  8.93184075E-07
  7.75500000E-02  4.95782208E-06  7.60322044E-07
  1.55100000E-01  5.13337142E-06  6.97357241E-07
  2.32600000E-01  5.15900108E-06  7.09192354E-07
  3.10200000E-01  5.30345495E-06  6.98476286E-07
  3.87700000E-01  5.39669544E-06  6.45280793E-07
  4.65300000E-01  5.75617835E-06  6.32127641E-07
  5.42800000E-01  5.78348272E-06  5.87902428E-07
  6.20400000E-01  6.34394698E-06  5.92485660E-07
  6.97900000E-01  7.01943538E-06  5.94552636E-07
  7.75500000E-01  7.99893196E-06  6.72842691E-07
  8.53000000E-01  8.73259425E-06  7.20269822E-07
  9.30600000E-01  9.85873531E-06  6.98863812E-07
  1.00800000E+00  1.10623951E-05  7.58157148E-07
  1.08600000E+00  1.25854709E-05  8.22640200E-07
  1.16300000E+00  1.38630152E-05  8.40352730E-07
  1.24100000E+00  1.57139460E-05  9.17125910E-07
  1.31800000E+00  1.73802116E-05  9.30279734E-07
  1.39600000E+00  1.89070083E-05  9.77629533E-07
  1.47300000E+00  2.10711148E-05  9.93959953E-07
  1.55100000E+00  2.33311004E-05  9.85890962E-07
  1.62900000E+00  2.60114058E-05  9.87557038E-07
  1.70600000E+00  2.95479123E-05  1.12060127E-06
  1.78400000E+00  3.29453619E-05  1.27436478E-06
  1.86100000E+00  3.71390795E-05  1.26405586E-06
  1.93900000E+00  4.14552339E-05  1.31804542E-06
  2.01600000E+00  4.62856242E-05  1.37397006E-06
  2.09400000E+00  5.15646818E-05  1.41831306E-06
  2.17100000E+00  5.76343010E-05  1.57735252E-06
  2.24900000E+00  6.44417963E-05  1.55872282E-06
  2.32600000E+00  7.21650583E-05  1.61510195E-06
  2.40400000E+00  8.01911876E-05  1.67560050E-06
  2.48200000E+00  8.98943218E-05  1.70333572E-06
  2.55900000E+00  1.00587657E-04  1.78422580E-06
  2.63700000E+00  1.13281328E-04  1.83402027E-06
  2.71400000E+00  1.28241973E-04  1.86879326E-06
  2.79200000E+00  1.45981315E-04  1.95479171E-06
  2.86900000E+00  1.66312167E-04  1.98830518E-06
  2.94700000E+00  1.91002921E-04  2.04926606E-06
  3.02400000E+00  2.20004667E-04  2.06836538E-06
  3.10200000E+00  2.54971666E-04  2.16498869E-06
  3.18000000E+00  2.98098088E-04  2.30671717E-06
  3.25700000E+00  3.49962550E-04  2.42897570E-06
  3.33500000E+00  4.13438158E-04  2.61656229E-06
  3.41200000E+00  4.88313070E-04  2.75789382E-06
  3.49000000E+00  5.80532782E-04  2.93160100E-06
  3.56700000E+00  6.91932306E-04  3.32694684E-06
  3.64500000E+00  8.27521679E-04  3.56433082E-06
  3.72200000E+00  9.91010393E-04  4.00531474E-06
  3.80000000E+00  1.18944135E-03  4.52221519E-06
  3.87700000E+00  1.42339049E-03  4.99977606E-06
  3.95500000E+00  1.70820630E-03  6.09412180E-06
  4.03300000E+00  2.04400312E-03  6.64353783E-06
  4.11000000E+00  2.44814217E-03  7.33854101E-06
  4.18800000E+00  2.92032065E-03  8.11345735E-06
  4.26500000E+00  3.47946943E-03  8.69964244E-06
  4.34300000E+00  4.13511529E-03  1.00381044E-05
  4.42000000E+00  4.90413485E-03  1.12076893E-05
  4.49800000E+00  5.79970546E-03  1.26712721E-05
  4.57500000E+00  6.83178116E-03  1.44562612E-05
  4.65300000E+00  8.01038141E-03  1.68340878E-05
  4.73100000E+00  9.35120751E-03  1.84548522E-05
  4.80800000E+00  1.08584953E-02  2.09668893E-05
  4.88600000E+00  1.25421598E-02  2.37463287E-05
  4.96300000E+00  1.43995428E-02  2.70586881E-05
  5.04100000E+00  1.64070457E-02  2.92647269E-05
  5.11800000E+00  1.85516981E-02  3.39623755E-05
  5.19600000E+00  2.08065185E-02  3.71803011E-05
  5.27300000E+00  2.31150735E-02  3.88444013E-05
  5.35100000E+00  2.54305021E-02  4.20407732E-05
  5.42800000E+00  2.76649668E-02  4.52933537E-05
  5.50600000E+00  2.97355804E-02  4.95236085E-05
  5.58400000E+00  3.15432007E-02  5.23580416E-05
  5.66100000E+00  3.29937119E-02  5.44436994E-05
  5.73900000E+00  3.39741419E-02  5.74170347E-05
  5.81600000E+00  3.44042366E-02  5.69930141E-05
  5.89400000E+00  3.42362690E-02  5.79244465E-05
  5.97100000E+00  3.34114118E-02  5.63562480E-05
  6.04900000E+00  3.19413680E-02  5.54655325E-05
  6.12600000E+00  2.98729267E-02  5.08198428E-05
  6.20400000E+00  2.72935387E-02  4.75037458E-05
  6.28200000E+00  2.43309940E-02  4.40061133E-05
  6.35900000E+00  2.11461896E-02  3.97178600E-05
  6.43700000E+00  1.78804847E-02  3.45190158E-05
  6.51400000E+00  1.47080939E-02  2.93797420E-05
  6.59200000E+00  1.17730745E-02  2.39999420E-05
  6.66900000E+00  9.17295782E-03  1.93926400E-05
  6.74700000E+00  6.97562210E-03  1.49027331E-05
  6.82400000E+00  5.20684041E-03  1.10625640E-05
  6.90200000E+00  3.86349198E-03  7.99611679E-06
  6.97900000E+00  2.90678584E-03  5.99463045E-06
  7.05700000E+00  2.28595509E-03  5.10033087E-06
  7.13500000E+00  1.95608511E-03  4.99649015E-06
  7.21200000E+00  1.86836875E-03  5.99963204E-06
  7.29000000E+00  1.99706392E-03  6.67332345E-06
  7.36700000E+00  2.32382578E-03  7.66462024E-06
  7.44500000E+00  2.84966007E-03  8.42085706E-06
  7.52200000E+00  3.58886828E-03  9.37636478E-06
  7.60000000E+00  4.57519745E-03  1.05454820E-05
  7.67700000E+00  5.85056045E-03  1.13995875E-05
  7.75500000E+00  7.48067178E-03  1.25750920E-05
