#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  4.83613744E-03  1.87517817E-04
  7.75500000E-02  4.90369530E-03  1.86060371E-04
  1.55100000E-01  4.94997518E-03  1.72292784E-04
  2.32600000E-01  5.03627201E-03  1.61158751E-04
  3.10200000E-01  5.10447707E-03  1.40223800E-04
  3.87700000E-01  5.26114053E-03  1.29834229E-04
  4.65300000E-01  5.43818788E-03  1.12436948E-04
  5.42800000E-01  5.66935110E-03  1.01846251E-04
  6.20400000E-01  5.92868653E-03  9.16074382E-05
  6.97900000E-01  6.25549979E-03  8.07916886E-05
  7.75500000E-01  6.64777967E-03  7.28796010E-05
  8.53000000E-01  7.10113005E-03  6.56505265E-05
  9.30600000E-01  7.61905347E-03  6.36487616E-05
  1.00800000E+00  8.25339746E-03  6.00372539E-05
  1.08600000E+00  8.97214206E-03  5.67764965E-05
  1.16300000E+00  9.77999937E-03  5.75464244E-05
  1.24100000E+00  1.06786609E-02  6.01892164E-05
  1.31800000E+00  1.16859388E-02  6.12000341E-05
  1.39600000E+00  1.28126062E-02  6.41921737E-05
  1.47300000E+00  1.40166235E-02  7.05579820E-05
  1.55100000E+00  1.53786601E-02  7.46470762E-05
  1.62900000E+00  1.68156631E-02  7.94762885E-05
  1.70600000E+00  1.83571904E-02  8.46656722E-05
  1.78400000E+00  1.99994391E-02  8.47614762E-05
  1.86100000E+00  2.17499615E-02  8.10920104E-05
  1.93900000E+00  2.35554204E-02  8.80168965E-05
  2.01600000E+00  2.54292560E-02  8.51170842E-05
  2.09400000E+00  2.72835669E-02  8.72514921E-05
  2.17100000E+00  2.91574865E-02  8.14158812E-05
  2.24900000E+00  3.09423069E-02  7.77916473E-05
  2.32600000E+00  3.25361472E-02  7.62340030E-05
  2.40400000E+00  3.39603390E-02  7.95195942E-05
  2.48200000E+00  3.51372240E-02  7.38031986E-05
  2.55900000E+00  3.60135423E-02  7.88487258E-05
  2.63700000E+00  3.64633300E-02  8.29151841E-05
  2.71400000E+00  3.65226754E-02  8.89082827E-05
  2.79200000E+00  3.60946582E-02  9.44570183E-05
  2.86900000E+00  3.51573330E-02  1.03823951E-04
  2.94700000E+00  3.38186028E-02  1.07962732E-04
  3.02400000E+00  3.20197084E-02  1.09818410E-04
  3.10200000E+00  2.98408373E-02  1.13695796E-04
  3.18000000E+00  2.73228336E-02  1.17032392E-04
  3.25700000E+00  2.45699457E-02  1.16817396E-04
  3.33500000E+00  2.17504066E-02  1.06555258E-04
  3.41200000E+00  1.89022657E-02  1.00619482E-04
  3.49000000E+00  1.61606162E-02  9.66877457E-05
  3.56700000E+00  1.35999879E-02  8.29330816E-05
  3.64500000E+00  1.13225257E-02  7.46792202E-05
  3.72200000E+00  9.35675266E-03  6.31005870E-05
  3.80000000E+00  7.73676617E-03  5.72106176E-05
  3.87700000E+00  6.49042254E-03  5.07166236E-05
  3.95500000E+00  5.57930198E-03  4.53870315E-05
  4.03300000E+00  5.01549519E-03  4.38962743E-05
  4.11000000E+00  4.75364276E-03  4.36132592E-05
  4.18800000E+00  4.77425868E-03  4.31381470E-05
  4.26500000E+00  5.04497402E-03  4.45376821E-05
  4.34300000E+00  5.56489233E-03  4.47839263E-05
  4.42000000E+00  6.30718672E-03  4.59005482E-05
  4.49800000E+00  7.29367076E-03  4.94786109E-05
  4.57500000E+00  8.50847338E-03  5.12907951E-05
  4.65300000E+00  9.97998641E-03  5.22281431E-05
  4.73100000E+00  1.16968393E-02  5.44188784E-05
  4.80800000E+00  1.37150032E-02  5.46297180E-05
  4.88600000E+00  1.60627512E-02  5.62690516E-05
  4.96300000E+00  1.87022088E-02  5.71836310E-05
  5.04100000E+00  2.17015951E-02  5.72941886E-05
  5.11800000E+00  2.50290611E-02  5.79142220E-05
  5.19600000E+00  2.86762669E-02  5.69444516E-05
  5.27300000E+00  3.25961693E-02  5.75561795E-05
  5.35100000E+00  3.67376624E-02  6.04879081E-05
  5.42800000E+00  4.09918769E-02  6.27388543E-05
  5.50600000E+00  4.52654277E-02  5.88092496E-05
  5.58400000E+00  4.93576263E-02  6.65715800E-05
  5.66100000E+00  5.30883725E-02  6.28556819E-05
  5.73900000E+00  5.62937665E-02  6.26200453E-05
  5.81600000E+00  5.87334612E-02  6.35020586E-05
  5.89400000E+00  6.01627478E-02  7.18122729E-05
  5.97100000E+00  6.04960066E-02  7.48768838E-05
  6.04900000E+00  5.95898194E-02  7.79802702E-05
  6.12600000E+00  5.74145393E-02  8.46976721E-05
  6.20400000E+00  5.39783162E-02  8.91701604E-05
  6.28200000E+00  4.94809414E-02  9.10555309E-05
  6.35900000E+00  4.41132424E-02  8.76294744E-05
  6.43700000E+00  3.82279302E-02  8.34083737E-05
  6.51400000E+00  3.21174102E-02  7.59459815E-05
  6.59200000E+00  2.61310705E-02  6.66763937E-05
  6.66900000E+00  2.05839452E-02  5.76557201E-05
  6.74700000E+00  1.56879759E-02  4.84423524E-05
  6.82400000E+00  1.15600445E-02  3.92086729E-05
  6.90200000E+00  8.24205973E-03  3.02967830E-05
  6.97900000E+00  5.70852250E-03  2.34416614E-05
  7.05700000E+00  3.87299219E-03  1.74062685E-05
  7.13500000E+00  2.61052285E-03  1.26387094E-05
  7.21200000E+00  1.82843301E-03  9.74168677E-06
  7.29000000E+00  1.40594550E-03  9.71967911E-06
  7.36700000E+00  1.28945577E-03  1.05902485E-05
  7.44500000E+00  1.41912375E-03  1.13919927E-05
  7.52200000E+00  1.78248878E-03  1.37308181E-05
  7.60000000E+00  2.40670150E-03  1.64344090E-05
  7.67700000E+00  3.32799742E-03  1.95252444E-05
  7.75500000E+00  4.59852042E-03  2.24426599E-05
  7.83300000E+00  6.32218777E-03  2.48879975E-05
  7.91000000E+00  8.59692469E-03  2.72058813E-05
  7.98800000E+00  1.15634557E-02  3.03858356E-05
  8.06500000E+00  1.53331179E-02  3.26083177E-05
  8.14300000E+00  2.00292109E-02  3.16114310E-05
  8.22000000E+00  2.57643118E-02  3.36110263E-05
  8.29800000E+00  3.26035052E-02  3.29558274E-05
  8.37500000E+00  4.05137921E-02  3.15442768E-05
  8.45300000E+00  4.93781211E-02  3.08918290E-05
  8.53000000E+00  5.89480968E-02  3.06984964E-05
  8.60800000E+00  6.88060349E-02  3.03927543E-05
  8.68600000E+00  7.83785205E-02  3.20185786E-05
  8.76300000E+00  8.68965873E-02  3.35366583E-05
  8.84100000E+00  9.34707302E-02  3.37232412E-05
  8.91800000E+00  9.72409051E-02  3.71503237E-05
  8.99600000E+00  9.74523070E-02  4.51302415E-05
  9.07300000E+00  9.36602027E-02  4.85979564E-05
  9.15100000E+00  8.57733622E-02  4.37270696E-05
