#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.75500000E-02  0.00000000E+00  0.00000000E+00
  1.55100000E-01  0.00000000E+00  0.00000000E+00
  2.32600000E-01  0.00000000E+00  0.00000000E+00
  3.10200000E-01  0.00000000E+00  0.00000000E+00
  3.87700000E-01  0.00000000E+00  0.00000000E+00
  4.65300000E-01  0.00000000E+00  0.00000000E+00
  5.42800000E-01  0.00000000E+00  0.00000000E+00
  6.20400000E-01  0.00000000E+00  0.00000000E+00
  6.97900000E-01  0.00000000E+00  0.00000000E+00
  7.75500000E-01  0.00000000E+00  0.00000000E+00
  8.53000000E-01  0.00000000E+00  0.00000000E+00
  9.30600000E-01  0.00000000E+00  0.00000000E+00
  1.00800000E+00  0.00000000E+00  0.00000000E+00
  1.08600000E+00  0.00000000E+00  0.00000000E+00
  1.16300000E+00  0.00000000E+00  0.00000000E+00
  1.24100000E+00  0.00000000E+00  0.00000000E+00
  1.31800000E+00  0.00000000E+00  0.00000000E+00
  1.39600000E+00  0.00000000E+00  0.00000000E+00
  1.47300000E+00  0.00000000E+00  0.00000000E+00
  1.55100000E+00  0.00000000E+00  0.00000000E+00
  1.62900000E+00  0.00000000E+00  0.00000000E+00
  1.70600000E+00  0.00000000E+00  0.00000000E+00
  1.78400000E+00  0.00000000E+00  0.00000000E+00
  1.86100000E+00  0.00000000E+00  0.00000000E+00
  1.93900000E+00  0.00000000E+00  0.00000000E+00
  2.01600000E+00  0.00000000E+00  0.00000000E+00
  2.09400000E+00  0.00000000E+00  0.00000000E+00
  2.17100000E+00  0.00000000E+00  0.00000000E+00
  2.24900000E+00  0.00000000E+00  0.00000000E+00
  2.32600000E+00  0.00000000E+00  0.00000000E+00
  2.40400000E+00  0.00000000E+00  0.00000000E+00
  2.48200000E+00  0.00000000E+00  0.00000000E+00
  2.55900000E+00  0.00000000E+00  0.00000000E+00
  2.63700000E+00  0.00000000E+00  0.00000000E+00
  2.71400000E+00  0.00000000E+00  0.00000000E+00
  2.79200000E+00  0.00000000E+00  0.00000000E+00
  2.86900000E+00  0.00000000E+00  0.00000000E+00
  2.94700000E+00  0.00000000E+00  0.00000000E+00
  3.02400000E+00  0.00000000E+00  0.00000000E+00
  3.10200000E+00  0.00000000E+00  0.00000000E+00
  3.18000000E+00  0.00000000E+00  0.00000000E+00
  3.25700000E+00  0.00000000E+00  0.00000000E+00
  3.33500000E+00  0.00000000E+00  0.00000000E+00
  3.41200000E+00  0.00000000E+00  0.00000000E+00
  3.49000000E+00  0.00000000E+00  0.00000000E+00
  3.56700000E+00  0.00000000E+00  0.00000000E+00
  3.64500000E+00  1.10672407E-10  1.11606205E-10
  3.72200000E+00  1.08390501E-10  1.09305046E-10
  3.80000000E+00  1.06200794E-10  1.07096863E-10
  3.87700000E+00  5.20489041E-10  5.24880667E-10
  3.95500000E+00  1.73530035E-09  1.64917978E-09
  4.03300000E+00  3.00396532E-09  2.92905516E-09
  4.11000000E+00  3.83216136E-09  3.57104722E-09
  4.18800000E+00  5.69099853E-09  4.96777536E-09
  4.26500000E+00  6.91453279E-09  3.76314639E-09
  4.34300000E+00  8.83910150E-09  6.33204486E-09
  4.42000000E+00  1.10624288E-08  7.73515402E-09
  4.49800000E+00  1.37489182E-08  5.69473723E-09
  4.57500000E+00  1.51965305E-08  5.07255047E-09
  4.65300000E+00  1.88554683E-08  4.66968480E-09
  4.73100000E+00  2.67548294E-08  5.69172373E-09
  4.80800000E+00  4.06256270E-08  8.77559636E-09
  4.88600000E+00  5.00030133E-08  9.97040350E-09
  4.96300000E+00  7.78353030E-08  1.22482423E-08
  5.04100000E+00  1.14930337E-07  1.59801934E-08
  5.11800000E+00  1.61423610E-07  1.84081064E-08
  5.19600000E+00  2.31227449E-07  2.20104218E-08
  5.27300000E+00  3.38209220E-07  2.65131934E-08
  5.35100000E+00  4.92110031E-07  3.15776665E-08
  5.42800000E+00  6.98613680E-07  3.78489880E-08
  5.50600000E+00  9.65953409E-07  4.83769411E-08
  5.58400000E+00  1.39812833E-06  5.87484952E-08
  5.66100000E+00  1.96301982E-06  6.66852120E-08
  5.73900000E+00  2.76903104E-06  8.30323076E-08
  5.81600000E+00  3.91178950E-06  1.05262805E-07
  5.89400000E+00  5.46288764E-06  1.31090301E-07
  5.97100000E+00  7.56958563E-06  1.53227476E-07
  6.04900000E+00  1.04443665E-05  1.74952648E-07
  6.12600000E+00  1.44907697E-05  2.09999243E-07
  6.20400000E+00  1.99606312E-05  2.45144076E-07
  6.28200000E+00  2.74726359E-05  2.96276737E-07
  6.35900000E+00  3.78119219E-05  3.65877501E-07
  6.43700000E+00  5.16286214E-05  4.12903371E-07
  6.51400000E+00  7.06365293E-05  4.98543370E-07
  6.59200000E+00  9.58017243E-05  5.80090226E-07
  6.66900000E+00  1.30094480E-04  7.37359171E-07
  6.74700000E+00  1.75782198E-04  8.16077580E-07
  6.82400000E+00  2.36930433E-04  9.63421325E-07
  6.90200000E+00  3.18439070E-04  1.13420006E-06
  6.97900000E+00  4.26516747E-04  1.31338381E-06
  7.05700000E+00  5.69053109E-04  1.55664561E-06
  7.13500000E+00  7.56981359E-04  1.82950245E-06
  7.21200000E+00  1.00022778E-03  2.18498884E-06
  7.29000000E+00  1.31857684E-03  2.55239613E-06
  7.36700000E+00  1.72830621E-03  3.03897130E-06
  7.44500000E+00  2.25491100E-03  3.49891490E-06
  7.52200000E+00  2.92799092E-03  4.15752598E-06
  7.60000000E+00  3.78001630E-03  4.70674525E-06
  7.67700000E+00  4.85122570E-03  5.32193155E-06
  7.75500000E+00  6.18777175E-03  5.97909295E-06
  7.83300000E+00  7.83597934E-03  6.77542089E-06
  7.91000000E+00  9.84360794E-03  7.38244800E-06
  7.98800000E+00  1.22629594E-02  8.46618655E-06
  8.06500000E+00  1.51350396E-02  9.91335108E-06
  8.14300000E+00  1.84927328E-02  1.06706787E-05
  8.22000000E+00  2.23345725E-02  1.21001903E-05
  8.29800000E+00  2.66500726E-02  1.36020457E-05
  8.37500000E+00  3.13618636E-02  1.56824623E-05
  8.45300000E+00  3.63396476E-02  1.79234869E-05
  8.53000000E+00  4.13966514E-02  2.02999825E-05
  8.60800000E+00  4.62702921E-02  2.26238789E-05
  8.68600000E+00  5.06277537E-02  2.50046893E-05
  8.76300000E+00  5.40708066E-02  2.74768124E-05
  8.84100000E+00  5.62085574E-02  2.93489961E-05
  8.91800000E+00  5.66838759E-02  2.98169609E-05
  8.99600000E+00  5.51983141E-02  3.04648243E-05
  9.07300000E+00  5.16762964E-02  2.87902556E-05
  9.15100000E+00  4.62285380E-02  2.62687082E-05
  9.22800000E+00  3.92466368E-02  2.32339241E-05
  9.30600000E+00  3.13584112E-02  1.85481780E-05
