#      P/P0	4He/Ar/MCM-41 nsorb [mmol/g]
0	        0
0.000136054	1.717538492
0.000272109	3.114881396
0.000272109	3.99541926
0.000272109	5.036054918
0.000272109	6.085116775
0.002993197	7.034431175
0.005442177	7.443068173
0.008163265	7.802548598
0.012108844	8.178864579
0.018503401	8.538294476
0.024489796	8.885090688
0.026666667	8.976344576
0.034013605	9.27116051
0.037823129	9.404522939
0.05170068	9.825642042
0.06585034	10.16811287
0.085578231	10.58774714
0.105986395	10.96664542
0.14707483	11.6078758
0.184489796	12.06799342
0.215510204	12.34141824
0.243809524	12.52500102
0.27755102	12.67761288
0.320272109	12.79639643
0.377687075	12.88127307
0.433741497	12.92544179
0.50952381	12.976361
0.588843537	13.02442282
0.674421769	12.9867322
0.748707483	13.09103792
0.818503401	13.262815
0.881904762	13.50489836
0.88707483	14.34885158
0.91755102	14.68267165
0.940408163	15.07838864
0.986258503	17.25031313
0.99170068	19.73877591
